ns,Burn history (1e18),Ti avg (keV),Ti nTOF (keV),DT rhoR (g/cm2),CH rhoR (g/cm2)
16.11,0.020612,4.8873,5.8438,0.5039,0.19082
16.115,0.025187,4.9304,5.8235,0.53326,0.19659
16.12,0.030742,4.9629,5.793,0.56343,0.2027
16.125,0.0374,4.9851,5.7551,0.59457,0.20912
16.13,0.045384,5.0001,5.7126,0.62741,0.21588
16.135,0.054943,5.0109,5.6681,0.66202,0.22301
16.14,0.066217,5.0208,5.6248,0.69868,0.23065
16.145,0.079892,5.033,5.5842,0.73648,0.23873
16.15,0.096308,5.0503,5.5492,0.77484,0.24726
16.155,0.11709,5.0757,5.5192,0.81368,0.25629
16.16,0.143,5.1094,5.4946,0.852,0.26579
16.165,0.17551,5.1505,5.4737,0.88871,0.27577
16.17,0.21592,5.1969,5.4551,0.92289,0.28641
16.175,0.2663,5.2471,5.4375,0.95474,0.29749
16.18,0.32954,5.3011,5.4213,0.98374,0.30869
16.185,0.40784,5.3586,5.409,1.0081,0.3198
16.19,0.50871,5.4237,5.4038,1.0296,0.33021
16.196,0.67405,5.5187,5.4138,1.0493,0.34207
16.2,0.81601,5.5944,5.4348,1.055,0.34937
16.205,1.0436,5.7107,5.4846,1.0573,0.3576
16.21,1.3381,5.8562,5.568,1.0528,0.36341
16.216,1.7976,6.0716,5.7072,1.0374,0.36777
16.221,2.2791,6.2752,5.8519,1.0157,0.36811
16.226,2.8687,6.4854,6.0213,0.98562,0.36524
16.231,3.5757,6.6877,6.2139,0.94711,0.35944
16.236,4.4064,6.8758,6.4316,0.90033,0.3516
16.242,5.3536,7.0551,6.686,0.84944,0.33997
16.247,6.3082,7.2288,6.9794,0.79769,0.32571
16.252,7.1143,7.4017,7.31,0.74872,0.30869
16.257,7.5711,7.5695,7.6605,0.70158,0.29103
16.262,7.5801,7.7251,8.0085,0.65623,0.27414
16.267,7.0741,7.8574,8.3298,0.61233,0.25931
16.272,6.1996,7.9591,8.6116,0.56814,0.24354
16.277,5.1353,8.0272,8.847,0.52399,0.22666
16.282,4.0307,8.0634,9.0343,0.48055,0.20899
16.287,3.0121,8.0743,9.1766,0.4382,0.19495
16.292,2.1635,8.0684,9.2809,0.39833,0.18264
16.297,1.5625,8.0556,9.3507,0.36538,0.17424
16.303,0.97874,8.0349,9.4131,0.32605,0.16143
16.307,0.70519,8.0221,9.4407,0.30278,0.15427
16.312,0.42699,8.0064,9.4677,0.27186,0.14797
16.318,0.25722,7.9949,9.4837,0.24522,0.13723
16.323,0.15488,7.987,9.4932,0.22247,0.13038
16.329,0.094724,7.9817,9.4988,0.20292,0.12613
16.333,0.058609,7.9783,9.5021,0.1862,0.12019
16.338,0.036817,7.9761,9.5042,0.17169,0.11437
16.343,0.023634,7.9746,9.5055,0.15913,0.11191
16.348,0.01538,7.9737,9.5063,0.14805,0.10658
16.353,0.0088994,7.9729,9.5069,0.13542,0.10197
16.359,0.0053359,7.9724,9.5073,0.12459,0.09997
16.363,0.0036858,7.9722,9.5075,0.11762,0.095531
16.368,0.0023211,7.972,9.5076,0.10922,0.09429
16.374,0.0014881,7.9718,9.5077,0.10207,0.089722
16.378,0.00098363,7.9717,9.5078,0.095681,0.089221
16.384,0.00059814,7.9717,9.5078,0.088857,0.084383
16.389,0.0004134,7.9717,9.5078,0.083965,0.083317
16.393,0.00028703,7.9716,9.5078,0.079772,0.080579
16.399,0.00018836,7.9716,9.5079,0.074841,0.078468
16.404,0.00012568,7.9716,9.5079,0.070656,0.077976
16.41,8.54E-05,7.9716,9.5079,0.066827,0.074503